id,name,icon,created_at,updated_at
1,Cebolla,cebolla.png,"2022-09-10 21:21:39","2022-09-13 23:39:03"
2,Tomate,tomate.png,"2022-09-10 21:22:00","2022-09-14 00:26:51"
3,"Platano verde",platano_verde.png,"2022-09-10 21:22:13","2022-09-14 00:26:51"
4,Pollo,pollo.png,"2022-09-10 21:22:19","2022-09-14 00:26:51"
5,"Tortilla de harina de trigo",NULL,"2022-09-13 22:59:50","2022-09-15 10:03:19"
6,"carne de res",carne.png,"2022-09-13 23:00:10","2022-09-14 00:26:51"
7,cilantro,NULL,"2022-09-13 23:00:19","2022-09-13 23:00:19"
8,salchicha,NULL,"2022-09-13 23:28:19","2022-09-13 23:28:19"
9,papa,papa.png,"2022-09-13 23:28:25","2022-09-14 00:26:51"
11,"Pechuga de pollo",NULL,"2022-09-15 09:52:35","2022-09-15 09:52:35"
12,Ajo,NULL,"2022-09-15 09:53:03","2022-09-15 09:53:03"
13,"Aceite Vegetal",NULL,"2022-09-15 09:53:16","2022-09-15 09:53:16"
14,"Pimentón rojo",NULL,"2022-09-15 09:53:30","2022-09-15 09:53:54"
15,"Pimentón verde",NULL,"2022-09-15 09:53:42","2022-09-15 09:53:42"
16,Zanahoria,NULL,"2022-09-15 09:54:16","2022-09-15 09:54:16"
17,Brócoli,NULL,"2022-09-15 09:54:26","2022-09-15 09:54:26"
18,"Raíces chinas",NULL,"2022-09-15 09:54:38","2022-09-15 09:54:38"
19,Arroz,NULL,"2022-09-15 09:54:44","2022-09-15 09:54:44"
20,"Ajonjolí tostado",NULL,"2022-09-15 09:55:02","2022-09-15 09:55:02"
21,Espagueti,NULL,"2022-09-15 09:56:15","2022-09-15 09:56:15"
22,"Carne molida",NULL,"2022-09-15 09:56:31","2022-09-15 09:56:31"
23,Zucchini,NULL,"2022-09-15 09:56:52","2022-09-15 09:56:52"
24,Champiñones,NULL,"2022-09-15 09:57:20","2022-09-15 09:57:20"
25,Apio,NULL,"2022-09-15 09:57:27","2022-09-15 09:57:27"
26,Perejil,NULL,"2022-09-15 09:57:37","2022-09-15 09:57:37"
27,Canelones,NULL,"2022-09-15 09:57:44","2022-09-15 09:57:44"
28,"Crema de leche",NULL,"2022-09-15 09:58:04","2022-09-15 09:58:04"
29,"Queso parmesano",NULL,"2022-09-15 09:58:13","2022-09-15 09:58:13"
30,"Queso mozzarella",NULL,"2022-09-15 09:58:35","2022-09-15 09:58:35"
31,Avena,NULL,"2022-09-15 09:59:17","2022-09-15 09:59:17"
32,"Harina de trigo",NULL,"2022-09-15 09:59:26","2022-09-15 09:59:26"
33,Lechuga,NULL,"2022-09-15 09:59:34","2022-09-15 09:59:34"
34,"Pan de hamburguesa",NULL,"2022-09-15 09:59:46","2022-09-15 09:59:46"
35,"Queso cheddar ",NULL,"2022-09-15 10:00:24","2022-09-15 10:00:24"
36,Aguacate,NULL,"2022-09-15 10:00:32","2022-09-15 10:00:32"
37,Limón,NULL,"2022-09-15 10:00:38","2022-09-15 10:00:48"
38,Mantequilla,NULL,"2022-09-15 10:01:02","2022-09-15 10:01:02"
39,Naranja,NULL,"2022-09-15 10:01:13","2022-09-15 10:01:13"
40,"Vinagre de manzana",NULL,"2022-09-15 10:01:26","2022-09-15 10:01:26"
41,Nachos,NULL,"2022-09-15 10:01:36","2022-09-15 10:01:36"
42,Jalapeño,NULL,"2022-09-15 10:01:55","2022-09-15 10:01:55"
43,Melón,NULL,"2022-09-15 10:02:04","2022-09-15 10:02:04"
44,Fresas,NULL,"2022-09-15 10:02:10","2022-09-15 10:02:10"
45,Durazno,NULL,"2022-09-15 10:02:17","2022-09-15 10:02:17"
46,"Arándanos ",NULL,"2022-09-15 10:02:32","2022-09-15 10:02:32"
47,Espinaca,NULL,"2022-09-15 10:02:43","2022-09-15 10:02:43"
48,"Pan integral ",NULL,"2022-09-15 10:03:32","2022-09-15 10:03:32"
49,Pimienta,NULL,"2022-09-15 10:03:39","2022-09-15 10:03:39"
50,sal,NULL,"2022-09-15 10:03:44","2022-09-15 10:03:44"
51,Mayonesa,NULL,"2022-09-15 10:03:54","2022-09-15 10:03:54"
52,Mostaza,NULL,"2022-09-15 10:04:12","2022-09-15 10:04:12"
53,"Anillos de calamar ",NULL,"2022-09-15 10:04:22","2022-09-15 10:04:22"
54,Mejillones,NULL,"2022-09-15 10:04:34","2022-09-15 10:04:34"
55,Gambones,NULL,"2022-09-15 10:04:44","2022-09-15 10:04:44"
56,Azafrán,NULL,"2022-09-15 10:04:54","2022-09-15 10:04:54"
57,"Vino blanco",NULL,"2022-09-15 10:05:03","2022-09-15 10:05:03"
58,Tallarines,NULL,"2022-09-15 10:05:12","2022-09-15 10:05:12"
59,"Cebolla morada ",NULL,"2022-09-15 10:05:43","2022-09-15 10:05:43"
